算法标注的字图片统计如下：
range_0_85_to_0_90：表示accuracy在[0.85,0.90)区间的个数
range_0_90_to_0_95：表示accuracy在[0.90,0.95)区间的个数
range_0_95_to_1：表示accuracy在[0.95,1]区间的个数

 char  | range_0_85_to_0_90 | range_0_90_to_0_95 | range_0_95_to_1 
  章   |                 35 |                 33 |             215
  冠   |                  2 |                  3 |             214
  讀   |                649 |                775 |             213
  弊   |                  3 |                  4 |             212
  缺   |                 39 |                 91 |             211
  慕   |                 38 |                 82 |             210
  捐   |                  7 |                 19 |             209
  都   |                560 |                868 |             209
  狐   |                  3 |                  5 |             207
  記   |                491 |               1020 |             204
  親   |                599 |                822 |             204
  庶   |                  6 |                 11 |             204
  虫   |                  4 |                 19 |             204
  敵   |                 30 |                 66 |             204
  頻   |                 32 |                 50 |             202
  懃   |                  1 |                  3 |             202
  羼   |                 37 |                 76 |             201
  愈   |                  0 |                  2 |             197
  洗   |                 24 |                 51 |             196
  蘇   |                 43 |                 91 |             195
  鮮   |                  7 |                 15 |             192
  麻   |                  0 |                  0 |             192
  堅   |                604 |                778 |             190
  憒   |                  5 |                  6 |             186
  走   |                 11 |                 33 |             185
  豎   |                  0 |                  0 |             184
  淚   |                  8 |                 15 |             184
  肩   |                 44 |                 85 |             182
  劍   |                  0 |                  0 |             180
  齒   |                  2 |                  2 |             178
  閦   |                 20 |                 69 |             178
  澤   |                 52 |                126 |             177
  代   |                  2 |                  0 |             176
  黃   |                 41 |                 88 |             174
  唐   |                  2 |                  5 |             173
  詔   |                 37 |                 85 |             168
  姟   |                  3 |                 10 |             167
  闡   |                 41 |                 64 |             166
  元   |                  0 |                  5 |             161
  雅   |                  4 |                  6 |             161
  繒   |                 51 |                 84 |             160
  牽   |                  0 |                  0 |             160
  詰   |                  4 |                 13 |             159
  戀   |                 19 |                 36 |             157
  惓   |                  0 |                  0 |             157
  啓   |                 28 |                 65 |             157
  營   |                  7 |                  4 |             157
  厚   |                  1 |                  0 |             156
  囉   |                 30 |                 69 |             154
  眉   |                  2 |                  5 |             152
  旨   |                  2 |                  1 |             152
  晉   |                  1 |                  0 |             151
  鉤   |                  1 |                  1 |             150
  縱   |                 42 |                 75 |             150
  婢   |                  1 |                  1 |             149
  婇   |                 22 |                 49 |             148
  永   |                399 |                618 |             147
  互   |                 16 |                 28 |             146
  裟   |                 23 |                 62 |             146
  窟   |                  5 |                 10 |             146
  契   |                  0 |                  0 |             145
  愼   |                  0 |                  1 |             145
  譽   |                 23 |                 66 |             142
  咎   |                  1 |                  2 |             142
  紹   |                  1 |                  5 |             141
  炎   |                 28 |                 48 |             141
  割   |                 14 |                 43 |             141
  叢   |                  2 |                  9 |             140
  雪   |                 17 |                 31 |             140
  濡   |                  0 |                  5 |             139
  映   |                  0 |                 11 |             138
  瑕   |                 25 |                 56 |             138
  植   |                  1 |                  0 |             137
  陵   |                  5 |                  2 |             136
  角   |                 20 |                 39 |             136
  礙   |                560 |                522 |             135
  萌   |                  0 |                  0 |             134
  返   |                 11 |                 12 |             134
  舩   |                 22 |                 55 |             130
  輔   |                  0 |                  0 |             129
  達   |                707 |                907 |             129
  涼   |                 55 |                 74 |             128
  噉   |                 24 |                 45 |             127
  覲   |                  3 |                  6 |             126
  速   |                647 |                772 |             126
  瓦   |                 11 |                 11 |             125
  麗   |                 15 |                 14 |             124
